Time	Speed
10/10/2014 3:32:02	0
10/10/2014 3:32:12	0
10/10/2014 3:32:22	0
10/10/2014 3:32:32	0
10/10/2014 3:32:42	0
10/10/2014 3:32:52	0
10/10/2014 3:33:02	0
10/10/2014 3:33:12	0
10/10/2014 3:33:22	0
10/10/2014 3:33:32	0
10/10/2014 3:33:42	0
10/10/2014 3:33:52	0
10/10/2014 3:34:02	0
10/10/2014 3:34:12	0
10/10/2014 3:34:22	0
10/10/2014 3:34:32	0
10/10/2014 3:34:42	0
10/10/2014 3:34:52	0
10/10/2014 3:35:02	0
10/10/2014 3:35:12	0
10/10/2014 3:35:25	0
10/10/2014 3:35:32	0
10/10/2014 3:35:42	0
10/10/2014 3:35:52	0
10/10/2014 3:36:02	0
10/10/2014 3:36:12	0
10/10/2014 3:36:22	0
10/10/2014 3:36:32	0
10/10/2014 3:36:42	0
10/10/2014 3:36:52	0
10/10/2014 3:37:02	0
10/10/2014 3:37:12	0
10/10/2014 3:37:22	0
10/10/2014 3:37:32	0
10/10/2014 3:37:42	0
10/10/2014 3:37:52	0
10/10/2014 3:38:02	0
10/10/2014 3:38:12	0
10/10/2014 3:38:22	0
10/10/2014 3:38:32	0
10/10/2014 3:38:42	0
10/10/2014 3:38:52	0
10/10/2014 3:39:02	0
10/10/2014 3:39:12	0
10/10/2014 3:39:22	0
10/10/2014 3:39:32	0
10/10/2014 3:39:42	0
10/10/2014 3:39:52	0
10/10/2014 3:40:02	0
10/10/2014 3:41:12	0
10/10/2014 3:41:22	0
10/10/2014 3:41:32	0
10/10/2014 3:41:42	0
10/10/2014 3:41:52	0
10/10/2014 3:42:02	0
10/10/2014 3:42:12	0
10/10/2014 3:42:22	0
10/10/2014 3:42:32	0
10/10/2014 3:42:42	0
10/10/2014 3:42:52	0
10/10/2014 3:43:02	0
10/10/2014 3:43:12	0
10/10/2014 3:43:22	0
10/10/2014 3:43:32	0
10/10/2014 3:43:42	0
10/10/2014 3:43:52	0
10/10/2014 3:44:02	0
10/10/2014 3:44:12	0
10/10/2014 3:44:22	0
10/10/2014 3:44:32	0
10/10/2014 3:44:42	0
10/10/2014 3:44:52	0
10/10/2014 3:45:02	0
10/10/2014 3:45:12	0
10/10/2014 3:45:22	0
10/10/2014 3:45:35	0
10/10/2014 3:45:42	0
10/10/2014 3:45:52	0
10/10/2014 3:46:02	0
10/10/2014 3:46:12	0
10/10/2014 3:46:22	0
10/10/2014 3:46:32	0
10/10/2014 3:46:42	0
10/10/2014 3:46:52	0
10/10/2014 3:47:02	0
10/10/2014 3:47:12	0
10/10/2014 3:47:22	0
10/10/2014 3:47:32	0
10/10/2014 3:47:42	0
10/10/2014 3:47:52	0
10/10/2014 3:48:02	0
10/10/2014 3:48:12	0
10/10/2014 3:48:22	0
10/10/2014 3:48:32	0
10/10/2014 3:48:42	0
10/10/2014 3:48:52	0
10/10/2014 3:49:02	0
10/10/2014 3:49:12	0
10/10/2014 3:49:22	0
10/10/2014 3:49:32	0
10/10/2014 3:49:42	0
10/10/2014 3:49:52	0
10/10/2014 3:50:02	0
10/10/2014 3:50:12	0
10/10/2014 3:50:22	0
10/10/2014 3:50:32	0
10/10/2014 3:50:42	0
10/10/2014 3:50:52	0
10/10/2014 3:51:02	0
10/10/2014 3:51:12	0
10/10/2014 3:51:22	0
10/10/2014 3:51:32	0
10/10/2014 3:51:42	0
10/10/2014 3:51:52	0
10/10/2014 3:52:02	0
10/10/2014 3:52:12	0
10/10/2014 3:52:22	0
10/10/2014 3:52:33	0
10/10/2014 3:52:42	0
10/10/2014 3:52:52	0
10/10/2014 3:53:03	0
10/10/2014 3:53:12	0
10/10/2014 3:53:22	0
10/10/2014 3:53:32	0
10/10/2014 3:53:43	0
10/10/2014 3:53:53	0
10/10/2014 3:54:03	0
10/10/2014 3:54:13	0
10/10/2014 3:54:23	0
10/10/2014 3:54:36	0
10/10/2014 3:54:43	0
10/10/2014 3:54:53	0
10/10/2014 3:55:03	0
10/10/2014 3:55:13	0
10/10/2014 3:55:23	0
10/10/2014 3:55:33	0
10/10/2014 3:55:43	0
10/10/2014 3:55:53	0
10/10/2014 3:56:03	0
10/10/2014 3:56:13	0
10/10/2014 3:56:23	0
10/10/2014 3:56:33	0
10/10/2014 3:56:43	0
10/10/2014 3:56:53	0
10/10/2014 3:57:03	0
10/10/2014 3:57:13	0
10/10/2014 3:57:23	0
10/10/2014 3:57:33	0
10/10/2014 3:57:43	0
10/10/2014 3:57:53	0
10/10/2014 3:58:03	0
10/10/2014 3:58:13	0
10/10/2014 3:58:23	0
10/10/2014 3:58:33	0
10/10/2014 3:58:43	0
10/10/2014 3:58:53	0
10/10/2014 3:59:03	0
10/10/2014 3:59:13	0
10/10/2014 3:59:23	0
10/10/2014 3:59:33	0
10/10/2014 3:59:43	0
10/10/2014 3:59:53	0
10/10/2014 4:00:03	0
10/10/2014 4:00:13	0
10/10/2014 4:00:23	0
10/10/2014 4:00:33	0
10/10/2014 4:00:43	0
10/10/2014 4:00:53	0
10/10/2014 4:01:03	0
10/10/2014 4:01:14	0
10/10/2014 4:01:24	0
10/10/2014 4:01:34	0
10/10/2014 4:01:44	0
10/10/2014 4:01:54	0
10/10/2014 4:02:04	0
10/10/2014 4:02:14	0
10/10/2014 4:02:24	0
10/10/2014 4:02:34	0
10/10/2014 4:02:44	0
10/10/2014 4:02:54	0
10/10/2014 4:03:04	0
10/10/2014 4:03:14	0
10/10/2014 4:03:24	0
10/10/2014 4:03:34	0
10/10/2014 4:03:44	0
10/10/2014 4:03:54	0
10/10/2014 4:04:04	0
10/10/2014 4:04:14	0
10/10/2014 4:04:24	0
10/10/2014 4:04:34	0
10/10/2014 4:04:44	0
10/10/2014 4:04:54	0
10/10/2014 4:05:04	0
10/10/2014 4:05:14	0
10/10/2014 4:05:24	0
10/10/2014 4:05:34	0
10/10/2014 4:05:44	0
10/10/2014 4:05:54	0
10/10/2014 4:06:04	0
10/10/2014 4:06:14	0
10/10/2014 4:06:24	0
10/10/2014 4:06:34	0
10/10/2014 4:06:44	0
10/10/2014 4:06:54	0
10/10/2014 4:07:14	0
10/10/2014 4:07:24	0
10/10/2014 4:07:34	0
10/10/2014 4:07:44	0
10/10/2014 4:07:54	0
10/10/2014 4:08:04	0
10/10/2014 4:08:14	0
10/10/2014 4:08:24	0
10/10/2014 4:08:34	0
10/10/2014 4:08:44	0
10/10/2014 4:08:54	0
10/10/2014 4:09:04	0
10/10/2014 4:09:14	6
10/10/2014 4:09:24	9
10/10/2014 4:09:34	14
10/10/2014 4:09:45	11
10/10/2014 4:09:55	12
10/10/2014 4:10:05	12
10/10/2014 4:10:15	10
10/10/2014 4:10:25	2
10/10/2014 4:10:28	2
10/10/2014 4:10:31	2
10/10/2014 4:10:35	16
10/10/2014 4:10:45	34
10/10/2014 4:11:25	24
10/10/2014 4:11:35	20
10/10/2014 4:11:45	33
10/10/2014 4:11:55	32
10/10/2014 4:12:11	32
10/10/2014 4:12:36	29
10/10/2014 4:12:37	29
10/10/2014 4:12:45	29
10/10/2014 4:12:55	28
10/10/2014 4:13:05	33
10/10/2014 4:13:15	33
10/10/2014 4:13:25	35
10/10/2014 4:14:15	29
10/10/2014 4:14:25	35
10/10/2014 4:14:35	38
10/10/2014 4:14:45	38
10/10/2014 4:14:55	35
10/10/2014 4:15:05	35
10/10/2014 4:15:24	36
10/10/2014 4:15:25	36
10/10/2014 4:15:35	37
10/10/2014 4:15:45	36
10/10/2014 4:15:55	32
10/10/2014 4:16:05	33
10/10/2014 4:16:15	24
10/10/2014 4:16:25	1
10/10/2014 4:16:35	22
10/10/2014 4:17:46	37
10/10/2014 4:17:56	39
10/10/2014 4:18:06	40
10/10/2014 4:18:16	40
10/10/2014 4:18:26	36
10/10/2014 4:18:36	37
10/10/2014 4:18:46	23
10/10/2014 4:18:56	19
10/10/2014 4:19:06	26
10/10/2014 4:19:16	30
10/10/2014 4:19:29	30
10/10/2014 4:19:32	30
10/10/2014 4:19:35	30
10/10/2014 4:19:36	32
10/10/2014 4:19:46	26
10/10/2014 4:19:56	27
10/10/2014 4:20:06	26
10/10/2014 4:20:16	26
10/10/2014 4:20:26	24
10/10/2014 4:20:36	25
10/10/2014 4:20:46	25
10/10/2014 4:20:56	20
10/10/2014 4:21:06	1
10/10/2014 4:21:16	9
10/10/2014 4:21:26	18
10/10/2014 4:25:36	2
10/10/2014 4:25:46	2
10/10/2014 4:25:56	2
10/10/2014 4:26:06	0
10/10/2014 4:26:16	1
10/10/2014 4:26:26	7
10/10/2014 4:26:37	8
10/10/2014 4:26:46	0
10/10/2014 4:28:17	5
10/10/2014 4:28:26	0
10/10/2014 4:28:37	2
10/10/2014 4:28:47	2
10/10/2014 4:28:57	2
10/10/2014 4:29:37	11
10/10/2014 4:29:47	13
10/10/2014 4:29:57	8
10/10/2014 4:30:07	-3
10/10/2014 4:30:17	-4
10/10/2014 4:30:27	7
10/10/2014 4:30:37	6
10/10/2014 4:30:47	-6
10/10/2014 4:30:57	-3
10/10/2014 4:31:07	-4
10/10/2014 4:31:17	0
10/10/2014 4:32:07	0
10/10/2014 4:32:17	-6
10/10/2014 4:34:27	8
10/10/2014 4:34:37	14
10/10/2014 4:34:47	13
10/10/2014 4:34:57	14
10/10/2014 4:35:07	13
10/10/2014 4:35:10	13
10/10/2014 4:35:18	20
10/10/2014 4:35:27	18
10/10/2014 4:35:37	18
10/10/2014 4:35:47	21
10/10/2014 4:35:58	26
10/10/2014 4:36:07	28
10/10/2014 4:36:17	
10/10/2014 4:36:58	30
10/10/2014 4:37:07	24
10/10/2014 4:37:17	16
10/10/2014 4:37:27	15
10/10/2014 4:37:37	16
10/10/2014 4:37:47	15
10/10/2014 4:38:03	18
10/10/2014 4:38:08	19
10/10/2014 4:38:20	24
10/10/2014 4:38:28	19
10/10/2014 4:38:38	20
10/10/2014 4:38:48	15
10/10/2014 4:39:08	5
10/10/2014 4:39:18	7
10/10/2014 4:39:28	2
10/10/2014 4:39:41	2
10/10/2014 4:39:48	2
10/10/2014 4:39:58	0
10/10/2014 4:40:08	11
10/10/2014 4:40:18	10
10/10/2014 4:40:28	6
10/10/2014 4:40:38	-6
10/10/2014 4:40:48	-6
10/10/2014 4:40:58	-2
10/10/2014 4:41:14	2
10/10/2014 4:41:18	3
10/10/2014 4:41:31	0
10/10/2014 4:41:42	5
10/10/2014 4:41:48	7
10/10/2014 4:42:10	15
10/10/2014 4:42:11	19
10/10/2014 4:42:18	19
10/10/2014 4:42:28	19
10/10/2014 4:42:38	18
10/10/2014 4:42:39	18
10/10/2014 4:42:49	16
10/10/2014 4:42:59	15
10/10/2014 4:43:11	17
10/10/2014 4:43:18	17
10/10/2014 4:43:21	17
10/10/2014 4:43:38	16
10/10/2014 4:43:48	21
10/10/2014 4:43:59	15
10/10/2014 4:44:08	23
10/10/2014 4:44:18	31
10/10/2014 4:44:29	30
10/10/2014 4:44:39	32
10/10/2014 4:44:49	27
10/10/2014 4:44:59	25
10/10/2014 4:45:09	29
10/10/2014 4:45:19	28
10/10/2014 4:45:29	24
10/10/2014 4:45:39	19
10/10/2014 4:45:49	18
10/10/2014 4:45:59	16
10/10/2014 4:46:09	18
10/10/2014 4:46:19	16
10/10/2014 4:46:32	12
10/10/2014 4:46:39	0
10/10/2014 4:46:49	9
10/10/2014 4:46:59	1
10/10/2014 4:47:09	0
10/10/2014 4:53:20	2
10/10/2014 4:53:30	4
10/10/2014 4:53:43	5
10/10/2014 4:53:50	5
10/10/2014 4:54:00	0
10/10/2014 4:54:10	2
10/10/2014 4:54:20	0
10/10/2014 4:55:20	5
10/10/2014 4:55:30	15
10/10/2014 4:55:40	-7
10/10/2014 4:55:50	-4
10/10/2014 4:56:00	0
10/10/2014 4:56:10	-2
10/10/2014 4:56:20	-2
10/10/2014 4:58:10	0
10/10/2014 4:58:20	-1
10/10/2014 4:58:30	-1
10/10/2014 4:58:40	0
10/10/2014 4:59:01	15
10/10/2014 4:59:11	14
10/10/2014 4:59:21	17
10/10/2014 4:59:31	17
10/10/2014 4:59:41	20
10/10/2014 4:59:51	16
10/10/2014 5:00:01	18
10/10/2014 5:00:11	19
10/10/2014 5:00:21	19
10/10/2014 5:00:41	19
10/10/2014 5:00:51	20
10/10/2014 5:01:01	18
10/10/2014 5:01:11	21
10/10/2014 5:01:21	20
10/10/2014 5:01:31	21
10/10/2014 5:01:41	22
10/10/2014 5:01:51	22
10/10/2014 5:02:01	22
10/10/2014 5:02:11	16
10/10/2014 5:02:21	12
10/10/2014 5:02:31	13
10/10/2014 5:02:41	11
10/10/2014 5:02:51	11
10/10/2014 5:03:01	9
10/10/2014 5:03:11	11
10/10/2014 5:03:21	13
10/10/2014 5:03:31	17
10/10/2014 5:03:51	23
10/10/2014 5:04:01	20
10/10/2014 5:04:12	18
10/10/2014 5:04:22	19
10/10/2014 5:04:32	14
10/10/2014 5:04:42	13
10/10/2014 5:04:52	6
10/10/2014 5:05:02	-6
10/10/2014 5:05:12	0
10/10/2014 5:05:22	0
10/10/2014 5:05:32	1
10/10/2014 5:05:42	0
10/10/2014 5:05:52	0
10/10/2014 5:06:02	8
10/10/2014 5:06:12	18
10/10/2014 5:06:22	15
10/10/2014 5:06:32	14
10/10/2014 5:06:42	15
10/10/2014 5:06:53	16
10/10/2014 5:07:03	16
10/10/2014 5:07:13	12
10/10/2014 5:07:23	15
10/10/2014 5:07:43	
10/10/2014 5:07:53	15
10/10/2014 5:08:03	18
10/10/2014 5:08:19	21
10/10/2014 5:08:26	15
10/10/2014 5:08:33	10
10/10/2014 5:08:36	10
10/10/2014 5:08:43	19
10/10/2014 5:08:53	41
10/10/2014 5:09:03	51
10/10/2014 5:09:13	51
